Aircraft,Date of Departure,From (US City),To (US City),Departure Airport,Arrival Airport,Flight Number,Departure Time,Arrival Time,Status
Boeing 737,2023-11-01,New York,Los Angeles,JFK,LAX,AA101,08:00,11:00,On Time
Airbus A320,2023-11-01,Chicago,Miami,ORD,MIA,DL202,09:30,13:00,On Time
Boeing 787,2023-11-01,San Francisco,Seattle,SFO,SEA,UA303,10:15,12:00,Delayed
Airbus A321,2023-11-01,Houston,Dallas,IAH,DFW,SW404,11:45,13:15,On Time
Boeing 737,2023-11-01,Atlanta,Denver,ATL,DEN,AA505,12:30,15:00,On Time
Airbus A320,2023-11-01,Boston,Las Vegas,BOS,LAS,DL606,14:00,17:30,Cancelled
Boeing 787,2023-11-01,Philadelphia,Phoenix,PHL,PHX,UA707,15:45,18:30,On Time
Airbus A321,2023-11-01,Orlando,San Diego,MCO,SAN,SW808,16:30,19:00,On Time
Boeing 737,2023-11-02,New York,Chicago,JFK,ORD,AA909,07:00,09:00,On Time
Airbus A320,2023-11-02,Los Angeles,Houston,LAX,IAH,DL101,08:30,12:00,On Time
Boeing 787,2023-11-02,Miami,Atlanta,MIA,ATL,UA202,10:00,12:00,Delayed
Airbus A321,2023-11-02,Seattle,Dallas,SEA,DFW,SW303,11:15,14:30,On Time
Boeing 737,2023-11-02,Denver,Boston,DEN,BOS,AA4041,13:00,17:00,On Time
Airbus A320,2023-11-02,Las Vegas,Philadelphia,LAS,PHL,DL505,14:30,18:00,Cancelled
Boeing 787,2023-11-02,Phoenix,Orlando,PHX,MCO,UA606,16:00,20:00,On Time
Airbus A321,2023-11-02,San Diego,New York,SAN,JFK,SW707,17:45,21:30,On Time
Boeing 737,2023-11-03,Chicago,Los Angeles,ORD,LAX,AA808,08:00,10:30,On Time
Airbus A320,2023-11-03,Houston,San Francisco,IAH,SFO,DL909,09:30,12:00,On Time
Boeing 787,2023-11-03,Atlanta,Seattle,ATL,SEA,UA101,11:00,14:00,Delayed
Airbus A321,2023-11-03,Dallas,Miami,DFW,MIA,SW202,12:15,15:30,On Time
Boeing 737,2023-11-03,Boston,Denver,BOS,DEN,AA303,13:30,16:30,On Time
Airbus A320,2023-11-03,Philadelphia,Las Vegas,PHL,LAS,DL404,15:00,18:30,Cancelled
Boeing 787,2023-11-03,Orlando,Phoenix,MCO,PHX,UA505,16:45,20:00,On Time
Airbus A321,2023-11-03,New York,San Diego,JFK,SAN,SW606,18:00,21:30,On Time
Boeing 737,2023-11-04,Los Angeles,Chicago,LAX,ORD,AA707,07:30,10:00,On Time
Airbus A320,2023-11-04,San Francisco,Houston,SFO,IAH,DL808,09:00,12:30,On Time
Boeing 787,2023-11-04,Seattle,Atlanta,SEA,ATL,UA909,10:30,13:30,Delayed
Airbus A321,2023-11-04,Miami,Dallas,MIA,DFW,SW101,11:45,14:45,On Time
Boeing 737,2023-11-04,Denver,Boston,DEN,BOS,AA202,13:00,17:00,On Time
Airbus A320,2023-11-04,Las Vegas,Philadelphia,LAS,PHL,DL303,14:30,18:00,Cancelled
Boeing 787,2023-11-04,Phoenix,Orlando,PHX,MCO,UA404,16:00,20:00,On Time
Airbus A321,2023-11-04,San Diego,New York,SAN,JFK,SW505,17:45,21:30,On Time
Boeing 737,2023-11-05,Chicago,Los Angeles,ORD,LAX,AA606,08:00,10:30,On Time
Airbus A320,2023-11-05,Houston,San Francisco,IAH,SFO,DL707,09:30,12:00,On Time
Boeing 787,2023-11-05,Atlanta,Seattle,ATL,SEA,UA808,11:00,14:00,Delayed
Airbus A321,2023-11-05,Dallas,Miami,DFW,MIA,SW909,12:15,15:30,On Time
Boeing 737,2023-11-07,Chicago,Los Angeles,ORD,LAX,AA404,08:00,10:30,On Time
Airbus A320,2023-11-07,Houston,San Francisco,IAH,SFO,DL505,09:30,12:00,On Time
Boeing 787,2023-11-07,Atlanta,Seattle,ATL,SEA,UA606,11:00,14:00,Delayed
Airbus A321,2023-11-07,Dallas,Miami,DFW,MIA,SW707,12:15,15:30,On Time
Boeing 737,2023-11-08,Los Angeles,Chicago,LAX,ORD,AA303,07:30,10:00,On Time
Airbus A320,2023-11-08,San Francisco,Houston,SFO,IAH,DL404,09:00,12:30,On Time
Boeing 787,2023-11-08,Seattle,Atlanta,SEA,ATL,UA505,10:30,13:30,Delayed
Airbus A321,2023-11-08,Miami,Dallas,MIA,DFW,SW606,11:45,14:45,On Time
